sentence,author
"Perhaps, however, a reference, tending to illustrate the general principle, may with propriety be made to a case which has lately happened among ourselves",Hamilton
"If Shays had not been a DESPERATE DEBTOR, it is much to be doubted whether Massachusetts would have been plunged into a civil war",Hamilton
"But notwithstanding the concurring testimony of experience, in this particular, there are still to be found visionary or designing men, who stand ready to advocate the paradox of perpetual peace between the States, though dismembered and alienated from each other",Hamilton
"The genius of republics (say they) is pacific; the spirit of commerce has a tendency to soften the manners of men, and to extinguish those inflammable humors which have so often kindled into wars",Hamilton
"Commercial republics, like ours, will never be disposed to waste themselves in ruinous contentions with each other",Hamilton
"They will be governed by mutual interest, and will cultivate a spirit of mutual amity and concord",Hamilton
"Is it not (we may ask these projectors in politics) the true interest of all nations to cultivate the same benevolent and philosophic spirit? If this be their true interest, have they in fact pursued it? Has it not, on the contrary, invariably been found that momentary passions, and immediate interest, have a more active and imperious control over human conduct than general or remote considerations of policy, utility or justice? Have republics in practice been less addicted to war than monarchies? Are not the former administered by MEN as well as the latter? Are there not aversions, predilections, rivalships, and desires of unjust acquisitions, that affect nations as well as kings? Are not popular assemblies frequently subject to the impulses of rage, resentment, jealousy, avarice, and of other irregular and violent propensities? Is it not well known that their determinations are often governed by a few individuals in whom they place confidence, and are, of course, liable to be tinctured by the passions and views of those individuals? Has commerce hitherto done anything more than change the objects of war? Is not the love of wealth as domineering and enterprising a passion as that of power or glory? Have there not been as many wars founded upon commercial motives since that has become the prevailing system of nations, as were before occasioned by the cupidity of territory or dominion? Has not the spirit of commerce, in many instances, administered new incentives to the appetite, both for the one and for the other? Let experience, the least fallible guide of human opinions, be appealed to for an answer to these inquiries",Hamilton
"Sparta, Athens, Rome, and Carthage were all republics; two of them, Athens and Carthage, of the commercial kind",Hamilton
"Yet were they as often engaged in wars, offensive and defensive, as the neighboring monarchies of the same times",Hamilton
Sparta was little better than a wellregulated camp; and Rome was never sated of carnage and conquest,Hamilton
"Carthage, though a commercial republic, was the aggressor in the very war that ended in her destruction",Hamilton
"Hannibal had carried her arms into the heart of Italy and to the gates of Rome, before Scipio, in turn, gave him an overthrow in the territories of Carthage, and made a conquest of the commonwealth",Hamilton
"Venice, in later times, figured more than once in wars of ambition, till, becoming an object to the other Italian states, Pope Julius II",Hamilton
"found means to accomplish that formidable league, [9] which gave a deadly blow to the power and pride of this haughty republic",Hamilton
"The provinces of Holland, till they were overwhelmed in debts and taxes, took a leading and conspicuous part in the wars of Europe",Hamilton
"They had furious contests with England for the dominion of the sea, and were among the most persevering and most implacable of the opponents of Louis XIV",Hamilton
In the government of Britain the representatives of the people compose one branch of the national legislature,Hamilton
Commerce has been for ages the predominant pursuit of that country,Hamilton
"Few nations, nevertheless, have been more frequently engaged in war; and the wars in which that kingdom has been engaged have, in numerous instances, proceeded from the people",Hamilton
"There have been, if I may so express it, almost as many popular as royal wars",Hamilton
"The cries of the nation and the importunities of their representatives have, upon various occasions, dragged their monarchs into war, or continued them in it, contrary to their inclinations, and sometimes contrary to the real interests of the State",Hamilton
"In that memorable struggle for superiority between the rival houses of AUSTRIA and BOURBON, which so long kept Europe in a flame, it is well known that the antipathies of the English against the French, seconding the ambition, or rather the avarice, of a favorite leader, [10] protracted the war beyond the limits marked out by sound policy, and for a considerable time in opposition to the views of the court",Hamilton
"The wars of these two last-mentioned nations have in a great measure grown out of commercial considerations,--the desire of supplanting and the fear of being supplanted, either in particular branches of traffic or in the general advantages of trade and navigation",Hamilton
"From this summary of what has taken place in other countries, whose situations have borne the nearest resemblance to our own, what reason can we have to confide in those reveries which would seduce us into an expectation of peace and cordiality between the members of the present confederacy, in a state of separation? Have we not already seen enough of the fallacy and extravagance of those idle theories which have amused us with promises of an exemption from the imperfections, weaknesses and evils incident to society in every shape? Is it not time to awake from the deceitful dream of a golden age, and to adopt as a practical maxim for the direction of our political conduct that we, as well as the other inhabitants of the globe, are yet remote from the happy empire of perfect wisdom and perfect virtue?Let the point of extreme depression to which our national dignity and credit have sunk, let the inconveniences felt everywhere from a lax and ill administration of government, let the revolt of a part of the State of North Carolina, the late menacing disturbances in Pennsylvania, and the actual insurrections and rebellions in Massachusetts, declare--!So far is the general sense of mankind from corresponding with the tenets of those who endeavor to lull asleep our apprehensions of discord and hostility between the States, in the event of disunion, that it has from long observation of the progress of society become a sort of axiom in politics, that vicinity or nearness of situation, constitutes nations natural enemies",Hamilton
"An intelligent writer expresses himself on this subject to this effect: ""NEIGHBORING NATIONS (says he) are naturally enemies of each other unless their common weakness forces them to league in a CONFEDERATE REPUBLIC, and their constitution prevents the differences that neighborhood occasions, extinguishing that secret jealousy which disposes all states to aggrandize themselves at the expense of their neighbors",Hamilton
""" [11] This passage, at the same time, points out the EVIL and suggests the REMEDY",Hamilton
"IT IS sometimes asked, with an air of seeming triumph, what inducements could the States have, if disunited, to make war upon each other? It would be a full answer to this question to say--precisely the same inducements which have, at different times, deluged in blood all the nations in the world",Hamilton
"But, unfortunately for us, the question admits of a more particular answer",Hamilton
"There are causes of differences within our immediate contemplation, of the tendency of which, even under the restraints of a federal constitution, we have had sufficient experience to enable us to form a judgment of what might be expected if those restraints were removed",Hamilton
Territorial disputes have at all times been found one of the most fertile sources of hostility among nations,Hamilton
Perhaps the greatest proportion of wars that have desolated the earth have sprung from this origin,Hamilton
This cause would exist among us in full force,Hamilton
We have a vast tract of unsettled territory within the boundaries of the United States,Hamilton
"There still are discordant and undecided claims between several of them, and the dissolution of the Union would lay a foundation for similar claims between them all",Hamilton
"It is well known that they have heretofore had serious and animated discussion concerning the rights to the lands which were ungranted at the time of the Revolution, and which usually went under the name of crown lands",Hamilton
"The States within the limits of whose colonial governments they were comprised have claimed them as their property, the others have contended that the rights of the crown in this article devolved upon the Union; especially as to all that part of the Western territory which, either by actual possession, or through the submission of the Indian proprietors, was subjected to the jurisdiction of the king of Great Britain, till it was relinquished in the treaty of peace",Hamilton
"This, it has been said, was at all events an acquisition to the Confederacy by compact with a foreign power",Hamilton
"It has been the prudent policy of Congress to appease this controversy, by prevailing upon the States to make cessions to the United States for the benefit of the whole",Hamilton
"This has been so far accomplished as, under a continuation of the Union, to afford a decided prospect of an amicable termination of the dispute",Hamilton
"A dismemberment of the Confederacy, however, would revive this dispute, and would create others on the same subject",Hamilton
"At present, a large part of the vacant Western territory is, by cession at least, if not by any anterior right, the common property of the Union",Hamilton
"If that were at an end, the States which made the cession, on a principle of federal compromise, would be apt when the motive of the grant had ceased, to reclaim the lands as a reversion",Hamilton
"The other States would no doubt insist on a proportion, by right of representation",Hamilton
"Their argument would be, that a grant, once made, could not be revoked; and that the justice of participating in territory acquired or secured by the joint efforts of the Confederacy, remained undiminished",Hamilton
"If, contrary to probability, it should be admitted by all the States, that each had a right to a share of this common stock, there would still be a difficulty to be surmounted, as to a proper rule of apportionment",Hamilton
"Different principles would be set up by different States for this purpose; and as they would affect the opposite interests of the parties, they might not easily be susceptible of a pacific adjustment",Hamilton
"In the wide field of Western territory, therefore, we perceive an ample theatre for hostile pretensions, without any umpire or common judge to interpose between the contending parties",Hamilton
"To reason from the past to the future, we shall have good ground to apprehend, that the sword would sometimes be appealed to as the arbiter of their differences",Hamilton
"The circumstances of the dispute between Connecticut and Pennsylvania, respecting the land at Wyoming, admonish us not to be sanguine in expecting an easy accommodation of such differences",Hamilton
The articles of confederation obliged the parties to submit the matter to the decision of a federal court,Hamilton
"The submission was made, and the court decided in favor of Pennsylvania",Hamilton
"But Connecticut gave strong indications of dissatisfaction with that determination; nor did she appear to be entirely resigned to it, till, by negotiation and management, something like an equivalent was found for the loss she supposed herself to have sustained",Hamilton
Nothing here said is intended to convey the slightest censure on the conduct of that State,Hamilton
"She no doubt sincerely believed herself to have been injured by the decision; and States, like individuals, acquiesce with great reluctance in determinations to their disadvantage",Hamilton
"Those who had an opportunity of seeing the inside of the transactions which attended the progress of the controversy between this State and the district of Vermont, can vouch the opposition we experienced, as well from States not interested as from those which were interested in the claim; and can attest the danger to which the peace of the Confederacy might have been exposed, had this State attempted to assert its rights by force",Hamilton
"Two motives preponderated in that opposition: one, a jealousy entertained of our future power; and the other, the interest of certain individuals of influence in the neighboring States, who had obtained grants of lands under the actual government of that district",Hamilton
"Even the States which brought forward claims, in contradiction to ours, seemed more solicitous to dismember this State, than to establish their own pretensions",Hamilton
"These were New Hampshire, Massachusetts, and Connecticut",Hamilton
"New Jersey and Rhode Island, upon all occasions, discovered a warm zeal for the independence of Vermont; and Maryland, till alarmed by the appearance of a connection between Canada and that State, entered deeply into the same views",Hamilton
"These being small States, saw with an unfriendly eye the perspective of our growing greatness",Hamilton
"In a review of these transactions we may trace some of the causes which would be likely to embroil the States with each other, if it should be their unpropitious destiny to become disunited",Hamilton
The competitions of commerce would be another fruitful source of contention,Hamilton
"The States less favorably circumstanced would be desirous of escaping from the disadvantages of local situation, and of sharing in the advantages of their more fortunate neighbors",Hamilton
"Each State, or separate confederacy, would pursue a system of commercial policy peculiar to itself",Hamilton
"This would occasion distinctions, preferences, and exclusions, which would beget discontent",Hamilton
"The habits of intercourse, on the basis of equal privileges, to which we have been accustomed since the earliest settlement of the country, would give a keener edge to those causes of discontent than they would naturally have independent of this circumstance",Hamilton
WE SHOULD BE READY TO DENOMINATE INJURIES THOSE THINGS WHICH WERE IN REALITY THE JUSTIFIABLE ACTS OF INDEPENDENT SOVEREIGNTIES CONSULTING A DISTINCT INTEREST,Hamilton
"The spirit of enterprise, which characterizes the commercial part of America, has left no occasion of displaying itself unimproved",Hamilton
It is not at all probable that this unbridled spirit would pay much respect to those regulations of trade by which particular States might endeavor to secure exclusive benefits to their own citizens,Hamilton
"The infractions of these regulations, on one side, the efforts to prevent and repel them, on the other, would naturally lead to outrages, and these to reprisals and wars",Hamilton
The opportunities which some States would have of rendering others tributary to them by commercial regulations would be impatiently submitted to by the tributary States,Hamilton
"The relative situation of New York, Connecticut, and New Jersey would afford an example of this kind",Hamilton
"New York, from the necessities of revenue, must lay duties on her importations",Hamilton
A great part of these duties must be paid by the inhabitants of the two other States in the capacity of consumers of what we import,Hamilton
New York would neither be willing nor able to forego this advantage,Hamilton
"Her citizens would not consent that a duty paid by them should be remitted in favor of the citizens of her neighbors; nor would it be practicable, if there were not this impediment in the way, to distinguish the customers in our own markets",Hamilton
"Would Connecticut and New Jersey long submit to be taxed by New York for her exclusive benefit? Should we be long permitted to remain in the quiet and undisturbed enjoyment of a metropolis, from the possession of which we derived an advantage so odious to our neighbors, and, in their opinion, so oppressive? Should we be able to preserve it against the incumbent weight of Connecticut on the one side, and the co-operating pressure of New Jersey on the other? These are questions that temerity alone will answer in the affirmative",Hamilton
The public debt of the Union would be a further cause of collision between the separate States or confederacies,Hamilton
"The apportionment, in the first instance, and the progressive extinguishment afterward, would be alike productive of ill-humor and animosity",Hamilton
How would it be possible to agree upon a rule of apportionment satisfactory to all? There is scarcely any that can be proposed which is entirely free from real objections,Hamilton
"These, as usual, would be exaggerated by the adverse interest of the parties",Hamilton
There are even dissimilar views among the States as to the general principle of discharging the public debt,Hamilton
"Some of them, either less impressed with the importance of national credit, or because their citizens have little, if any, immediate interest in the question, feel an indifference, if not a repugnance, to the payment of the domestic debt at any rate",Hamilton
These would be inclined to magnify the difficulties of a distribution,Hamilton
"Others of them, a numerous body of whose citizens are creditors to the public beyond proportion of the State in the total amount of the national debt, would be strenuous for some equitable and effective provision",Hamilton
The procrastinations of the former would excite the resentments of the latter,Hamilton
"The settlement of a rule would, in the meantime, be postponed by real differences of opinion and affected delays",Hamilton
"The citizens of the States interested would clamour; foreign powers would urge for the satisfaction of their just demands, and the peace of the States would be hazarded to the double contingency of external invasion and internal contention",Hamilton
"Suppose the difficulties of agreeing upon a rule surmounted, and the apportionment made",Hamilton
"Still there is great room to suppose that the rule agreed upon would, upon experiment, be found to bear harder upon some States than upon others",Hamilton
Those which were sufferers by it would naturally seek for a mitigation of the burden,Hamilton
"The others would as naturally be disinclined to a revision, which was likely to end in an increase of their own incumbrances",Hamilton
"Their refusal would be too plausible a pretext to the complaining States to withhold their contributions, not to be embraced with avidity; and the non-compliance of these States with their engagements would be a ground of bitter discussion and altercation",Hamilton
"If even the rule adopted should in practice justify the equality of its principle, still delinquencies in payments on the part of some of the States would result from a diversity of other causes--the real deficiency of resources; the mismanagement of their finances; accidental disorders in the management of the government; and, in addition to the rest, the reluctance with which men commonly part with money for purposes that have outlived the exigencies which produced them, and interfere with the supply of immediate wants",Hamilton
"Delinquencies, from whatever causes, would be productive of complaints, recriminations, and quarrels",Hamilton
"There is, perhaps, nothing more likely to disturb the tranquillity of nations than their being bound to mutual contributions for any common object that does not yield an equal and coincident benefit",Hamilton
"For it is an observation, as true as it is trite, that there is nothing men differ so readily about as the payment of money",Hamilton
"Laws in violation of private contracts, as they amount to aggressions on the rights of those States whose citizens are injured by them, may be considered as another probable source of hostility",Hamilton
"We are not authorized to expect that a more liberal or more equitable spirit would preside over the legislations of the individual States hereafter, if unrestrained by any additional checks, than we have heretofore seen in too many instances disgracing their several codes",Hamilton
"We have observed the disposition to retaliation excited in Connecticut in consequence of the enormities perpetrated by the Legislature of Rhode Island; and we reasonably infer that, in similar cases, under other circumstances, a war, not of PARCHMENT, but of the sword, would chastise such atrocious breaches of moral obligation and social justice",Hamilton
"The probability of incompatible alliances between the different States or confederacies and different foreign nations, and the effects of this situation upon the peace of the whole, have been sufficiently unfolded in some preceding papers",Hamilton
"From the view they have exhibited of this part of the subject, this conclusion is to be drawn, that America, if not connected at all, or only by the feeble tie of a simple league, offensive and defensive, would, by the operation of such jarring alliances, be gradually entangled in all the pernicious labyrinths of European politics and wars; and by the destructive contentions of the parts into which she was divided, would be likely to become a prey to the artifices and machinations of powers equally the enemies of them all",Hamilton
Divide et impera [1] must be the motto of every nation that either hates or fears us,Hamilton
"ASSUMING it therefore as an established truth that the several States, in case of disunion, or such combinations of them as might happen to be formed out of the wreck of the general Confederacy, would be subject to those vicissitudes of peace and war, of friendship and enmity, with each other, which have fallen to the lot of all neighboring nations not united under one government, let us enter into a concise detail of some of the consequences that would attend such a situation",Hamilton
"War between the States, in the first period of their separate existence, would be accompanied with much greater distresses than it commonly is in those countries where regular military establishments have long obtained",Hamilton
"The disciplined armies always kept on foot on the continent of Europe, though they bear a malignant aspect to liberty and economy, have, notwithstanding, been productive of the signal advantage of rendering sudden conquests impracticable, and of preventing that rapid desolation which used to mark the progress of war prior to their introduction",Hamilton
The art of fortification has contributed to the same ends,Hamilton
"The nations of Europe are encircled with chains of fortified places, which mutually obstruct invasion",Hamilton
"Campaigns are wasted in reducing two or three frontier garrisons, to gain admittance into an enemy's country",Hamilton
"Similar impediments occur at every step, to exhaust the strength and delay the progress of an invader",Hamilton
"Formerly, an invading army would penetrate into the heart of a neighboring country almost as soon as intelligence of its approach could be received; but now a comparatively small force of disciplined troops, acting on the defensive, with the aid of posts, is able to impede, and finally to frustrate, the enterprises of one much more considerable",Hamilton
"The history of war, in that quarter of the globe, is no longer a history of nations subdued and empires overturned, but of towns taken and retaken; of battles that decide nothing; of retreats more beneficial than victories; of much effort and little acquisition",Hamilton
In this country the scene would be altogether reversed,Hamilton
The jealousy of military establishments would postpone them as long as possible,Hamilton
"The want of fortifications, leaving the frontiers of one state open to another, would facilitate inroads",Hamilton
"The populous States would, with little difficulty, overrun their less populous neighbors",Hamilton
Conquests would be as easy to be made as difficult to be retained,Hamilton
"War, therefore, would be desultory and predatory",Hamilton
PLUNDER and devastation ever march in the train of irregulars,Hamilton
The calamities of individuals would make the principal figure in the events which would characterize our military exploits,Hamilton
"This picture is not too highly wrought; though, I confess, it would not long remain a just one",Hamilton
Safety from external danger is the most powerful director of national conduct,Hamilton
"Even the ardent love of liberty will, after a time, give way to its dictates",Hamilton
"The violent destruction of life and property incident to war, the continual effort and alarm attendant on a state of continual danger, will compel nations the most attached to liberty to resort for repose and security to institutions which have a tendency to destroy their civil and political rights",Hamilton
"To be more safe, they at length become willing to run the risk of being less free",Hamilton
The institutions chiefly alluded to are STANDING ARMIES and the correspondent appendages of military establishments,Hamilton
"Standing armies, it is said, are not provided against in the new Constitution; and it is therefore inferred that they may exist under it",Hamilton
"[1] Their existence, however, from the very terms of the proposition, is, at most, problematical and uncertain",Hamilton
"But standing armies, it may be replied, must inevitably result from a dissolution of the Confederacy",Hamilton
"Frequent war and constant apprehension, which require a state of as constant preparation, will infallibly produce them",Hamilton
"The weaker States or confederacies would first have recourse to them, to put themselves upon an equality with their more potent neighbors",Hamilton
"They would endeavor to supply the inferiority of population and resources by a more regular and effective system of defense, by disciplined troops, and by fortifications",Hamilton
"They would, at the same time, be necessitated to strengthen the executive arm of government, in doing which their constitutions would acquire a progressive direction toward monarchy",Hamilton
It is of the nature of war to increase the executive at the expense of the legislative authority,Hamilton
The expedients which have been mentioned would soon give the States or confederacies that made use of them a superiority over their neighbors,Hamilton
"Small states, or states of less natural strength, under vigorous governments, and with the assistance of disciplined armies, have often triumphed over large states, or states of greater natural strength, which have been destitute of these advantages",Hamilton
Neither the pride nor the safety of the more important States or confederacies would permit them long to submit to this mortifying and adventitious superiority,Hamilton
"They would quickly resort to means similar to those by which it had been effected, to reinstate themselves in their lost pre-eminence",Hamilton
"Thus, we should, in a little time, see established in every part of this country the same engines of despotism which have been the scourge of the Old World",Hamilton
"This, at least, would be the natural course of things; and our reasonings will be the more likely to be just, in proportion as they are accommodated to this standard",Hamilton
"These are not vague inferences drawn from supposed or speculative defects in a Constitution, the whole power of which is lodged in the hands of a people, or their representatives and delegates, but they are solid conclusions, drawn from the natural and necessary progress of human affairs",Hamilton
"It may, perhaps, be asked, by way of objection to this, why did not standing armies spring up out of the contentions which so often distracted the ancient republics of Greece? Different answers, equally satisfactory, may be given to this question",Hamilton
"The industrious habits of the people of the present day, absorbed in the pursuits of gain, and devoted to the improvements of agriculture and commerce, are incompatible with the condition of a nation of soldiers, which was the true condition of the people of those republics",Hamilton
"The means of revenue, which have been so greatly multiplied by the increase of gold and silver and of the arts of industry, and the science of finance, which is the offspring of modern times, concurring with the habits of nations, have produced an entire revolution in the system of war, and have rendered disciplined armies, distinct from the body of the citizens, the inseparable companions of frequent hostility",Hamilton
"There is a wide difference, also, between military establishments in a country seldom exposed by its situation to internal invasions, and in one which is often subject to them, and always apprehensive of them",Hamilton
