sentence,author
"Among the most formidable of the obstacles which the new Constitution will have to encounter may readily be distinguished the obvious interest of a certain class of men in every State to resist all changes which may hazard a diminution of the power, emolument, and consequence of the offices they hold under the State establishments; and the perverted ambition of another class of men, who will either hope to aggrandize themselves by the confusions of their country, or will flatter themselves with fairer prospects of elevation from the subdivision of the empire into several partial confederacies than from its union under one government",Hamilton
"The necessity of unanimity in public bodies, or of something approaching towards it, has been founded upon a supposition that it would contribute to security",Hamilton
"The second answer is, that the existence of such a power in the Constitution will have a strong influence in giving efficacy to requisitions",Hamilton
"Let Americans disdain to be the instruments of European greatness! Let the thirteen States, bound together in a strict and indissoluble Union, concur in erecting one great American system, superior to the control of all transatlantic force or influence, and able to dictate the terms of the connection between the old and the new world!",Hamilton
"There are, and will be, particular posts, the possession of which will include the command of large districts of territory, and facilitate future invasions of the remainder",Hamilton
"THAT there may happen cases in which the national government may be necessitated to resort to force, cannot be denied",Hamilton
"Let it, however, be admitted, for argument sake, that the expedient suggested might be successful; and let it at the same time be equally taken for granted that all the scruples which a sense of duty or an apprehension of the danger of the experiment might inspire, were overcome in the breasts of the national rulers, still I imagine it will hardly be pretended that they could ever hope to carry such an enterprise into execution without the aid of a military force sufficient to subdue the resistance of the great body of the people",Hamilton
"The security of all would thus be subjected to the parsimony, improvidence, or inability of a part",Hamilton
"They would be obliged to act, and in such a manner as would leave no doubt that they had encroached on the national rights",Hamilton
"The advantages obtained in one place must be abandoned to subdue the opposition in others; and the moment the part which had been reduced to submission was left to itself, its efforts would be renewed, and its resistance revive",Hamilton
"It would be mere sophistry to argue that it was meant to exclude them ABSOLUTELY from the imposition of taxes of the former kind, and to leave them at liberty to lay others SUBJECT TO THE CONTROL of the national legislature",Hamilton
"It has been the prudent policy of Congress to appease this controversy, by prevailing upon the States to make cessions to the United States for the benefit of the whole",Hamilton
"In the course of time and things, an equilibrium, as far as it is attainable in so complicated a subject, will be established everywhere",Hamilton
"It is not probable, considering the genius of this country, that the complying States would often be inclined to support the authority of the Union by engaging in a war against the non-complying States",Hamilton
It may therefore be satisfactory to analyze the arguments with which they combat it,Hamilton
"The times of election in the several States, as they are now established for local purposes, vary between extremes as wide as March and November",Hamilton
"The variety of more minute interests, which will necessarily fall under the superintendence of the local administrations, and which will form so many rivulets of influence, running through every part of the society, cannot be particularized, without involving a detail too tedious and uninteresting to compensate for the instruction it might afford",Hamilton
"Is the administration of justice between the citizens of the same State the proper department of the local governments? These must possess all the authorities which are connected with this object, and with every other that may be allotted to their particular cognizance and direction",Hamilton
"THE power of regulating the militia, and of commanding its services in times of insurrection and invasion are natural incidents to the duties of superintending the common defense, and of watching over the internal peace of the Confederacy",Hamilton
"To be more safe, they at length become willing to run the risk of being less free",Hamilton
"But they seem not to have been apprised of the sentiments of that great man expressed in another part of his work, nor to have adverted to the consequences of the principle to which they subscribe with such ready acquiescence",Hamilton
And in that sense let every considerate citizen judge for himself where the requisite qualification is most likely to be found,Hamilton
"If that were at an end, the States which made the cession, on a principle of federal compromise, would be apt when the motive of the grant had ceased, to reclaim the lands as a reversion",Hamilton
Every institution will grow and flourish in proportion to the quantity and extent of the means concentred towards its formation and support,Hamilton
The separate States or confederacies would be necessitated by mutual jealousy to avoid the temptations to that kind of trade by the lowness of their duties,Hamilton
"In framing a government for posterity as well as ourselves, we ought, in those provisions which are designed to be permanent, to calculate, not on temporary, but on permanent causes of expense",Hamilton
"This has been so far accomplished as, under a continuation of the Union, to afford a decided prospect of an amicable termination of the dispute",Hamilton
"Are the State governments to be stigmatized as tyrannies, because they possess this power? If they are not, with what propriety can the like power justify such a charge against the national government, or even be urged as an obstacle to its adoption? As little friendly as I am to the species of imposition, I still feel a thorough conviction that the power of having recourse to it ought to exist in the federal government",Hamilton
"They would, at the same time, be necessitated to strengthen the executive arm of government, in doing which their constitutions would acquire a progressive direction toward monarchy",Hamilton
"In most parts of it, excises must be confined within a narrow compass",Hamilton
"If we balance a proper deduction from one side against that which it is supposed ought to be made from the other, the proportion may still be considered as holding good",Hamilton
"This argument, though specious, will not, upon examination, be found solid",Hamilton
"The rulers of the respective members, whether they have a constitutional right to do it or not, will undertake to judge of the propriety of the measures themselves",Hamilton
"The latter, fortunately, is as much short of the truth as the former exceeds it",Hamilton
"The nations of Europe are encircled with chains of fortified places, which mutually obstruct invasion",Hamilton
"The want of a guaranty, though it might in its consequences endanger the Union, does not so immediately attack its existence as the want of a constitutional sanction to its laws",Hamilton
"An insurrection, whatever may be its immediate cause, eventually endangers all government",Hamilton
"For if there ever was a sovereign who bid fair to realize the project of universal monarchy, it was the Emperor Charles V",Hamilton
"For the absurdity must continually stare us in the face of confiding to a government the direction of the most essential national interests, without daring to trust it to the authorities which are indispensible to their proper and efficient management",Hamilton
"Hitherto, I believe, it may safely be asserted, that these duties have not upon an average exceeded in any State three per cent",Hamilton
"Those who have carefully attended to its vices and deformities as they have been exhibited by experience or delineated in the course of these papers, must feel invincible repugnancy to trusting the national interests in any degree to its operation",Hamilton
"Projects of usurpation cannot be masked under pretenses so likely to escape the penetration of select bodies of men, as of the people at large",Hamilton
"And it is EXPRESSLY to execute these powers that the sweeping clause, as it has been affectedly called, authorizes the national legislature to pass all NECESSARY and PROPER laws",Hamilton
"On the one hand, no rational calculation of probabilities would lead us to imagine that the disposition which a conduct so violent and extraordinary would imply, could ever find its way into the national councils; and on the other, it may be concluded with certainty, that if so improper a spirit should ever gain admittance into them, it would display itself in a form altogether different and far more decisive",Hamilton
"Disappointed in his first surmise, the person I have supposed would be apt to pursue his conjectures a little further",Hamilton
"It has been found in various countries that, in proportion as commerce has flourished, land has risen in value",Hamilton
"The proof of this proposition turns upon the greater degree of influence which the State governments if they administer their affairs with uprightness and prudence, will generally possess over the people; a circumstance which at the same time teaches us that there is an inherent and intrinsic weakness in all federal constitutions; and that too much pains cannot be taken in their organization, to give them all the force which is compatible with the principles of liberty",Hamilton
"Secondly, that there would be no temptation to violate the Constitution in favor of the landed class, because that class would, in the natural course of things, enjoy as great a preponderancy as itself could desire",Hamilton
"Personal estate (as has been before remarked), from the difficulty in tracing it, cannot be subjected to large contributions, by any other means than by taxes on consumption",Hamilton
The causes of hostility among nations are innumerable,Hamilton
"This peculiar felicity of situation has, in a great degree, contributed to preserve the liberty which that country to this day enjoys, in spite of the prevalent venality and corruption",Hamilton
"Waiving any exception that might be taken to the inaccuracy or inexplicitness of the distinction between internal and external, let us inquire what ground there is to presuppose that disinclination in the people",Hamilton
The regulation of the mere domestic police of a State appears to me to hold out slender allurements to ambition,Hamilton
"This period of European affairs is emphatically styled by historians, the times of feudal anarchy",Hamilton
"A further resource for influencing the conduct of European nations toward us, in this respect, would arise from the establishment of a federal navy",Hamilton
"The history of war, in that quarter of the globe, is no longer a history of nations subdued and empires overturned, but of towns taken and retaken; of battles that decide nothing; of retreats more beneficial than victories; of much effort and little acquisition",Hamilton
"I shall content myself with barely observing here, that of all the confederacies of antiquity, which history has handed down to us, the Lycian and Achaean leagues, as far as there remain vestiges of them, appear to have been most free from the fetters of that mistaken principle, and were accordingly those which have best deserved, and have most liberally received, the applauding suffrages of political writers",Hamilton
"Its future necessities admit not of calculation or limitation; and upon the principle, more than once adverted to, the power of making provision for them as they arise ought to be equally unconfined",Hamilton
In this view they are productive of inequality among the States; which inequality would be increased with the increased extent of the duties,Hamilton
"Can it be doubted that such a provision, whenever the situation of public affairs was understood to require a departure from it, would be interpreted by the legislature into a mere admonition, and would be made to yield to the necessities or supposed necessities of the State? Let the fact already mentioned, with respect to Pennsylvania, decide",Hamilton
"But it was not till the revolution in 1688, which elevated the Prince of Orange to the throne of Great Britain, that English liberty was completely triumphant",Hamilton
"""As this government is composed of small republics, it enjoys the internal happiness of each; and with respect to its external situation, it is possessed, by means of the association, of all the advantages of large monarchies",Hamilton
"It is observed that select corps may be formed, composed of the young and ardent, who may be rendered subservient to the views of arbitrary power",Hamilton
The resources of the Union would not be equal to the maintenance of an army considerable enough to confine the larger States within the limits of their duty; nor would the means ever be furnished of forming such an army in the first instance,Hamilton
"I shall now proceed to delineate dangers of a different and, perhaps, still more alarming kind--those which will in all probability flow from dissensions between the States themselves, and from domestic factions and convulsions",Hamilton
"increased to 30,000; who were paid out of his civil list",Hamilton
Sentences may be denounced against them for violations of their duty; but these sentences can only be carried into execution by the sword,Hamilton
""" Hence would result an exclusive power in the Union to lay duties on imports and exports, with the particular exception mentioned; but this power is abridged by another clause, which declares that no tax or duty shall be laid on articles exported from any State; in consequence of which qualification, it now only extends to the DUTIES ON IMPORTS",Hamilton
"This diversity of sentiment between a majority of the people, and the individuals who have the greatest credit in their councils, is exemplified in some of the States at the present moment, on the present question",Hamilton
The several States are in various degrees addicted to agriculture and commerce,Hamilton
"It must in truth be acknowledged that, however these may differ in other respects, they in general appear to harmonize in this sentiment, at least, that there are material imperfections in our national system, and that something is necessary to be done to rescue us from impending anarchy",Hamilton
"In a state so insignificant our commerce would be a prey to the wanton intermeddlings of all nations at war with each other; who, having nothing to fear from us, would with little scruple or remorse, supply their wants by depredations on our property as often as it fell in their way",Hamilton
"In that memorable struggle for superiority between the rival houses of AUSTRIA and BOURBON, which so long kept Europe in a flame, it is well known that the antipathies of the English against the French, seconding the ambition, or rather the avarice, of a favorite leader, [10] protracted the war beyond the limits marked out by sound policy, and for a considerable time in opposition to the views of the court",Hamilton
"Whether there ought to be a federal government intrusted with the care of the common defense, is a question in the first instance, open for discussion; but the moment it is decided in the affirmative, it will follow, that that government ought to be clothed with all the powers requisite to complete execution of its trust",Hamilton
"This would serve to turn the tide of State influence into the channels of the national government, instead of making federal influence flow in an opposite and adverse current",Hamilton
"The passage from them to us, in a few hours, or in a single night, as between the coasts of France and Britain, and of other neighboring nations, would be impracticable",Hamilton
The citizens of America have too much discernment to be argued into anarchy,Hamilton
"I will, in this place, hazard an observation, which will not be the less just because to some it may appear new; which is, that the more the operations of the national authority are intermingled in the ordinary exercise of government, the more the citizens are accustomed to meet with it in the common occurrences of their political life, the more it is familiarized to their sight and to their feelings, the further it enters into those objects which touch the most sensible chords and put in motion the most active springs of the human heart, the greater will be the probability that it will conciliate the respect and attachment of the community",Hamilton
"To those who are disposed to consider, as innocent omissions in the State constitutions, what they regard as unpardonable blemishes in the plan of the convention, nothing can be said; or at most, they can only be asked to assign some substantial reason why the representatives of the people in a single State should be more impregnable to the lust of power, or other sinister motives, than the representatives of the people of the United States? If they cannot do this, they ought at least to prove to us that it is easier to subvert the liberties of three millions of people, with the advantage of local governments to head their opposition, than of two hundred thousand people who are destitute of that advantage",Hamilton
We may indeed with propriety be said to have reached almost the last stage of national humiliation,Hamilton
"Each principal vassal was a kind of sovereign, within his particular demesnes",Hamilton
"I am convinced that this is the safest course for your liberty, your dignity, and your happiness",Hamilton
The military state becomes elevated above the civil,Hamilton
"It will be sufficient to remark, first, that for the reasons elsewhere assigned, it is less likely that any decided partiality should prevail in the councils of the Union than in those of any of its members",Hamilton
"Referring the examination of the principle itself to another place, as has been already mentioned, it will be sufficient to remark here that, in the sense of the author who has been most emphatically quoted upon the occasion, it would only dictate a reduction of the SIZE of the more considerable MEMBERS of the Union, but would not militate against their being all comprehended in one confederate government",Hamilton
"If individuals enter into a state of society, the laws of that society must be the supreme regulator of their conduct",Hamilton
"A spirit of faction, which is apt to mingle its poison in the deliberations of all bodies of men, will often hurry the persons of whom they are composed into improprieties and excesses, for which they would blush in a private capacity",Hamilton
"Here also we should preserve by Union, an advantage which nature holds out to us, and which would be relinquished by separation",Hamilton
"They would endeavor to supply the inferiority of population and resources by a more regular and effective system of defense, by disciplined troops, and by fortifications",Hamilton
"And making this concession, I affirm that (with the sole exception of duties on imports and exports) they would, under the plan of the convention, retain that authority in the most absolute and unqualified sense; and that an attempt on the part of the national government to abridge them in the exercise of it, would be a violent assumption of power, unwarranted by any article or clause of its Constitution",Hamilton
The possibility of a question of this nature proves the necessity of laying the foundations of our national government deeper than in the mere sanction of delegated authority,Hamilton
"An experiment of this nature would always be hazardous in the face of a constitution in any degree competent to its own defense, and of a people enlightened enough to distinguish between a legal exercise and an illegal usurpation of authority",Hamilton
"My arguments will be open to all, and may be judged of by all",Hamilton
"The efficacy of various principles is now well understood, which were either not known at all, or imperfectly known to the ancients",Hamilton
"Suppose, for instance, the city of Albany was to be appointed the sole place of election for the county and district of which it is a part, would not the inhabitants of that city speedily become the only electors of the members both of the Senate and Assembly for that county and district? Can we imagine that the electors who reside in the remote subdivisions of the counties of Albany, Saratoga, Cambridge, etc",Hamilton
"This exclusive delegation, or rather this alienation, of State sovereignty, would only exist in three cases: where the Constitution in express terms granted an exclusive authority to the Union; where it granted in one instance an authority to the Union, and in another prohibited the States from exercising the like authority; and where it granted an authority to the Union, to which a similar authority in the States would be absolutely and totally CONTRADICTORY and REPUGNANT",Hamilton
"Relating to more general interests, they will be less apt to come home to the feelings of the people; and, in proportion, less likely to inspire an habitual sense of obligation, and an active sentiment of attachment",Hamilton
"The magistracy, being equally the ministers of the law of the land, from whatever source it might emanate, would doubtless be as ready to guard the national as the local regulations from the inroads of private licentiousness",Hamilton
"It rests upon axioms as simple as they are universal; the MEANS ought to be proportioned to the END; the persons, from whose agency the attainment of any END is expected, ought to possess the MEANS by which it is to be attained",Hamilton
"The former they would reserve to the State governments; the latter, which they explain into commercial imposts, or rather duties on imported articles, they declare themselves willing to concede to the federal head",Hamilton
"One of the weak sides of republics, among their numerous advantages, is that they afford too easy an inlet to foreign corruption",Hamilton
"There is something so far-fetched and so extravagant in the idea of danger to liberty from the militia, that one is at a loss whether to treat it with gravity or with raillery; whether to consider it as a mere trial of skill, like the paradoxes of rhetoricians; as a disingenuous artifice to instil prejudices at any price; or as the serious offspring of political fanaticism",Hamilton
The first war of this kind would probably terminate in a dissolution of the Union,Hamilton
"The real scarcity of objects in this country, which may be considered as productive sources of revenue, is a reason peculiar to itself, for not abridging the discretion of the national councils in this respect",Hamilton
"The Bill of Rights of that State declares that standing armies are dangerous to liberty, and ought not to be kept up in time of peace",Hamilton
"If there is any thing exceptionable, it must be sought for in the specific powers upon which this general declaration is predicated",Hamilton
"Carthage, though a commercial republic, was the aggressor in the very war that ended in her destruction",Hamilton
"The popular system of administration inherent in the nature of popular government, coinciding with the real scarcity of money incident to a languid and mutilated state of trade, has hitherto defeated every experiment for extensive collections, and has at length taught the different legislatures the folly of attempting them",Hamilton
There is scarcely anything that can wound the pride or degrade the character of an independent nation which we do not experience,Hamilton
This cause would exist among us in full force,Hamilton
"This was certainly the most, delicate species of interference in their internal administration; for if there be any thing that seems exclusively appropriated to the local jurisdictions, it is the appointment of their own officers",Hamilton
The means to be employed must be proportioned to the extent of the mischief,Hamilton
"It at all times betrayed an ignorance of the true springs by which human conduct is actuated, and belied the original inducements to the establishment of civil power",Hamilton
"If the interposition of the State legislatures be necessary to give effect to a measure of the Union, they have only NOT TO ACT, or to ACT EVASIVELY, and the measure is defeated",Hamilton
Can any man think it would be wise to leave such posts in a situation to be at any instant seized by one or the other of two neighboring and formidable powers? To act this part would be to desert all the usual maxims of prudence and policy,Hamilton
A government continually at a distance and out of sight can hardly be expected to interest the sensations of the people,Hamilton
We have a vast tract of unsettled territory within the boundaries of the United States,Hamilton
"It must be admitted that there are exceptions to this rule; but these exceptions depend so entirely on accidental causes, that they cannot be considered as having any relation to the intrinsic merits or demerits of a constitution",Hamilton
"Constitutions of civil government are not to be framed upon a calculation of existing exigencies, but upon a combination of these with the probable exigencies of ages, according to the natural and tried course of human affairs",Hamilton
Various inconveniences would attend such a system,Hamilton
"The operations of the national government, on the other hand, falling less immediately under the observation of the mass of the citizens, the benefits derived from it will chiefly be perceived and attended to by speculative men",Hamilton
We must therefore consider merchants as the natural representatives of all these classes of the community,Hamilton
"""This form of government is a convention by which several smaller STATES agree to become members of a larger ONE, which they intend to form",Hamilton
"Inroads were gradually made upon the prerogative, in favor of liberty, first by the barons, and afterwards by the people, till the greatest part of its most formidable pretensions became extinct",Hamilton
But a danger of this kind is not to be apprehended,Hamilton
"had, by his own authority, kept on foot in time of peace a body of 5,000 regular troops",Hamilton
"The third will be found in that clause which declares that Congress shall have power ""to establish an UNIFORM RULE of naturalization throughout the United States",Hamilton
It must stand in need of no intermediate legislations; but must itself be empowered to employ the arm of the ordinary magistrate to execute its own resolutions,Hamilton
"It happens, indeed, that different portions of confederated America possess each some peculiar advantage for this essential establishment",Hamilton
"These contain an internal evidence which, antecedent to all reflection or combination, commands the assent of the mind",Hamilton
"WE HAVE seen, that an uncontrollable power over the elections to the federal government could not, without hazard, be committed to the State legislatures",Hamilton
"We shall discover that the former are altogether unlimited, and that the latter are circumscribed within very moderate bounds",Hamilton
"These positions are, in the main, arbitrary; they are supported neither by principle nor precedent",Hamilton
"Those of them which have colonies in America look forward to what this country is capable of becoming, with painful solicitude",Hamilton
"With regard to the learned professions, little need be observed; they truly form no distinct interest in society, and according to their situation and talents, will be indiscriminately the objects of the confidence and choice of each other, and of other parts of the community",Hamilton
"There is one transcendant advantage belonging to the province of the State governments, which alone suffices to place the matter in a clear and satisfactory light,--I mean the ordinary administration of criminal and civil justice",Hamilton
"The constitutional possibility of the thing, without an equivalent for the risk, is an unanswerable objection",Hamilton
"There is sufficient diversity in the state of property, in the genius, manners, and habits of the people of the different parts of the Union, to occasion a material diversity of disposition in their representatives towards the different ranks and conditions in society",Hamilton
"It is, therefore, as necessary that the State governments should be able to command the means of supplying their wants, as that the national government should possess the like faculty in respect to the wants of the Union",Hamilton
"If, in addition to this immense advantage, the ambition of the members should be stimulated by the separate and independent possession of military forces, it would afford too strong a temptation and too great a facility to them to make enterprises upon, and finally to subvert, the constitutional authority of the Union",Hamilton
"Should abuses creep into one part, they are reformed by those that remain sound",Hamilton
"The power of creating new funds upon new objects of taxation, by its own authority, would enable the national government to borrow as far as its necessities might require",Hamilton
"At one time, however, their elevation is to be a necessary consequence of the smallness of the representative body; at another time it is to be effected by depriving the people at large of the opportunity of exercising their right of suffrage in the choice of that body",Hamilton
The latter is that which immediately concerns the object under consideration,Hamilton
"An army, so large as seriously to menace those liberties, could only be formed by progressive augmentations; which would suppose, not merely a temporary combination between the legislature and executive, but a continued conspiracy for a series of time",Hamilton
"A complete power, therefore, to procure a regular and adequate supply of it, as far as the resources of the community will permit, may be regarded as an indispensable ingredient in every constitution",Hamilton
"The inference from the whole is, that the individual States would, under the proposed Constitution, retain an independent and uncontrollable authority to raise revenue to any extent of which they may stand in need, by every kind of taxation, except duties on imports and exports",Hamilton
"If we therefore take his ideas on this point as the criterion of truth, we shall be driven to the alternative either of taking refuge at once in the arms of monarchy, or of splitting ourselves into an infinity of little, jealous, clashing, tumultuous commonwealths, the wretched nurseries of unceasing discord, and the miserable objects of universal pity or contempt",Hamilton
"From the disorders that disfigure the annals of those republics the advocates of despotism have drawn arguments, not only against the forms of republican government, but against the very principles of civil liberty",Hamilton
It gave birth to a competition between the States which created a kind of auction for men,Hamilton
"Power being almost always the rival of power, the general government will at all times stand ready to check the usurpations of the state governments, and these will have the same disposition towards the general government",Hamilton
The articles of confederation obliged the parties to submit the matter to the decision of a federal court,Hamilton
It might be demonstrated that the most productive system of finance will always be the least burdensome,Hamilton
"It is well known that in the Roman republic the legislative authority, in the last resort, resided for ages in two different political bodies not as branches of the same legislature, but as distinct and independent legislatures, in each of which an opposite interest prevailed: in one the patrician; in the other, the plebian",Hamilton
"The government of the Union, like that of each State, must be able to address itself immediately to the hopes and fears of individuals; and to attract to its support those passions which have the strongest influence upon the human heart",Hamilton
"The money saved from one object may be usefully applied to another, and there will be so much the less to be drawn from the pockets of the people",Hamilton
"There was a common head, chieftain, or sovereign, whose authority extended over the whole nation; and a number of subordinate vassals, or feudatories, who had large portions of land allotted to them, and numerous trains of INFERIOR vassals or retainers, who occupied and cultivated that land upon the tenure of fealty or obedience, to the persons of whom they held it",Hamilton
"This, however, like most other things that have been alleged on that side, rests on mere general assertion, unsupported by any precise or intelligible designation of the reasons upon which it is founded",Hamilton
"Its inevitable tendency, whenever it is brought into activity, must be to enfeeble the Union, and sow the seeds of discord and contention between the federal head and its members, and between the members themselves",Hamilton
"We have observed the disposition to retaliation excited in Connecticut in consequence of the enormities perpetrated by the Legislature of Rhode Island; and we reasonably infer that, in similar cases, under other circumstances, a war, not of PARCHMENT, but of the sword, would chastise such atrocious breaches of moral obligation and social justice",Hamilton
"Vessels arriving directly from foreign countries, laden with valuable cargoes, would rarely choose to hazard themselves to the complicated and critical perils which would attend attempts to unlade prior to their coming into port",Hamilton
Her colonies in our vicinity will be likely to continue too much disproportioned in strength to be able to give us any dangerous annoyance,Hamilton
"Congress, from the nonattendance of a few States, have been frequently in the situation of a Polish diet, where a single VOTE has been sufficient to put a stop to all their movements",Hamilton
"Foreigners, as well as the citizens of America, could then reasonably repose confidence in its engagements; but to depend upon a government that must itself depend upon thirteen other governments for the means of fulfilling its contracts, when once its situation is clearly understood, would require a degree of credulity not often to be met with in the pecuniary transactions of mankind, and little reconcilable with the usual sharp-sightedness of avarice",Hamilton
Duties on imported articles form a large branch of this latter description,Hamilton
"But all suppositions of this kind are invidious, and ought to be banished from the consideration of the great question before the people",Hamilton
"Unless it were expressly provided in the Constitution, that each different occupation should send one or more members, the thing would never take place in practice",Hamilton
"Yet Montesquieu, speaking of this association, says: ""Were I to give a model of an excellent Confederate Republic, it would be that of Lycia",Hamilton
"These circumstances combined, admonish us not to be too sanguine in considering ourselves as entirely out of the reach of danger",Hamilton
"The administration of private justice between the citizens of the same State, the supervision of agriculture and of other concerns of a similar nature, all those things, in short, which are proper to be provided for by local legislation, can never be desirable cares of a general jurisdiction",Hamilton
"The conduct of Massachusetts affords a lesson on the same subject, though on different ground",Hamilton
"The quantity of the imposition, the expediency or inexpediency of an increase on either side, would be mutually questions of prudence; but there would be involved no direct contradiction of power",Hamilton
"And yet these two legislatures coexisted for ages, and the Roman republic attained to the utmost height of human greatness",Hamilton
"Every idea of proportion and every rule of fair representation conspire to condemn a principle, which gives to Rhode Island an equal weight in the scale of power with Massachusetts, or Connecticut, or New York; and to Deleware an equal voice in the national deliberations with Pennsylvania, or Virginia, or North Carolina",Hamilton
"Its situation must always savor of weakness, sometimes border upon anarchy",Hamilton
"[1]Several States have endeavored, by separate prohibitions, restrictions, and exclusions, to influence the conduct of that kingdom in this particular, but the want of concert, arising from the want of a general authority and from clashing and dissimilar views in the State, has hitherto frustrated every experiment of the kind, and will continue to do so as long as the same obstacles to a uniformity of measures continue to exist",Hamilton
"Thus, we should, in a little time, see established in every part of this country the same engines of despotism which have been the scourge of the Old World",Hamilton
